scenario,experiment,run,period,inflation,inflation_target,unemployment_rate,mean_indexation_strategy,mean_substitution_strategy,var_indexation_strategy,var_substitution_strategy
1,1,14,500,0.0360109391793962,0.02,0.0,1.1212281263917956,0.28657213794012065,0.031068886329698765,0.10942375019905567
1,1,14,550,0.04031639693612896,0.02,0.0005864180620274056,1.1755762939236183,0.3633827965193405,0.03232956355348256,0.1053976076052844
1,1,14,600,0.017543828024892162,0.02,0.003081956073513993,1.1875077760864987,0.3302660619689327,0.03531169880266664,0.11013114662749282
1,1,14,650,0.023477122236704676,0.02,0.0,1.1695852842957275,0.41713371360549945,0.029064636136325504,0.1275864943756989
1,1,14,700,0.006950409733276816,0.02,0.008054353563764608,1.1264906078295438,0.4284085493404708,0.03179917870557963,0.10847502666063805
1,1,14,750,0.024488484133509774,0.02,0.0,1.1611259956466535,0.3495915926480301,0.031879774020150534,0.108357283245364
1,1,14,800,0.023427369411522236,0.02,0.0,1.1639616324641848,0.40446740067170206,0.03086678886617502,0.1281492826467465
1,1,15,100,0.01819301477899327,0.02,0.0,0.9111774734783309,0.5211567293680746,0.031691512955385186,0.1058503801071283
1,1,15,150,0.018374643887390008,0.02,0.0,0.9144209344744659,0.4796839040246789,0.030428490436312634,0.12528354210746076
1,1,15,200,0.019121618621734764,0.02,0.0,0.9547154297654646,0.5623303254178303,0.029897839068228894,0.0981017266534609
1,1,15,250,0.019841695080877134,0.02,0.0,0.986048959921104,0.5989705667923911,0.029953133554794502,0.09527467098129273
